zip,"Estimated percent of all people age 25-34, between 2014-2018.","Estimated percent of all people age 35-44, between 2014-2018.","Estimated percent of all people age 45-54, between 2014-2018.","Estimated percent of all people age 55-64, between 2014-2018.","Estimated percent of all people 65 or older, between 2014-2018.",Estimated typical (median) age of all people between 2013-2017.
00922,9.83,7.24,6.34,28.99,38.77,61.0
00923,12.322142857142854,11.037857142857144,12.983571428571429,13.570714285714285,20.867857142857144,41.357142857142854
00924,12.909756097560974,11.39951219512195,12.640731707317068,12.407560975609755,21.38975609756097,40.80487804878049
00925,10.56,12.998333333333333,12.973333333333334,10.444999999999999,18.205000000000002,37.0
00926,12.104411764705883,12.00088235294118,13.495882352941177,12.523235294117644,20.778235294117653,41.705882352941174
00927,14.629999999999997,9.969166666666666,12.194166666666668,13.79,21.281666666666666,43.916666666666664
00928,10.59,13.66,16.07,12.54,17.13,41.0
00929,11.41,13.61,12.12,7.57,18.32,35.0
00931,10.59,13.66,16.07,12.54,17.13,41.0
00934,20.235,17.9,10.32,9.455,19.12,41.5
00935,8.54,12.11,10.49,15.31,33.1,54.0
00936,13.51,8.66,8.43,7.54,6.79,21.0
00940,15.47,10.96,16.07,15.77,18.17,46.0
00949,12.704545454545451,13.479090909090909,13.342424242424244,12.61969696969697,18.15969696969697,40.42424242424242
00950,16.81,8.8,11.6,17.43,15.8,40.0
00951,16.81,8.8,11.6,17.43,15.8,40.0
00952,13.2225,11.3625,13.895,12.834999999999999,19.6325,43.0
00953,14.323333333333334,12.387142857142857,13.677619047619048,12.848571428571425,16.628571428571426,39.42857142857143
00954,12.02,19.2,12.8,10.28,16.58,42.0
00956,12.708431372549017,12.041960784313725,12.303725490196074,12.521176470588234,20.63745098039216,40.568627450980394
00957,12.515522388059704,11.94074626865671,12.515671641791052,12.753134328358206,21.093582089552232,41.0
00958,13.08,13.39,8.03,8.03,16.22,32.0
00959,13.12739726027397,11.776301369863015,12.917945205479452,12.829315068493152,21.52972602739726,41.89041095890411
00960,11.1,12.01,16.48,17.12,27.72,52.0
00961,12.293124999999998,11.940208333333329,13.043124999999996,13.473333333333336,20.591666666666665,41.6875
